"","hh_size","n_children","region_type","hh_autos","n_emp","dist_to_transit","hh_income","trip_length_km","weight"
"5371",3,1,"urban",1,2,0.7,3359,33.25,0.892527972
"5372",3,1,"urban",1,2,0.7,3359,1.96,0.877878317
"5373",2,0,"metropolitan",1,2,0.7,3170,0.78,1.130486841
"5374",2,0,"metropolitan",1,2,0.7,3170,0.98,0.862560321
"5375",3,1,"metropolitan",1,1,0.05,1854,67.45,1.224282855
"5376",2,0,"urban",2,1,0.3,2686,3.8,0.22712727
"5377",4,2,"metropolitan",1,1,0.05,1671,28.5,1.785427934
"5378",2,0,"metropolitan",1,0,0.7,1713,5.7,0.731872622
"5379",3,0,"metropolitan",2,1,0.3,3192,9.5,1.385895448
"5380",4,0,"urban",2,2,0.15,2657,3.33,0.686622233
"5381",4,0,"urban",2,2,0.15,2657,3.43,0.686622233
"5382",5,2,"urban",3,2,0.3,3650,25.65,0.220307164
"5383",2,0,"metropolitan",1,1,0.05,7216,9.03,0.525172991
"5384",4,2,"metropolitan",2,2,0.3,3946,33.25,1.033951172
"5385",4,2,"metropolitan",2,2,0.3,3946,4.75,0.992728351
"5386",3,0,"metropolitan",3,3,0.3,2603,11.4,1.193709852
"5387",5,3,"rural",1,1,0.05,3057,0.2,1.023745353
"5388",3,0,"rural",2,3,0.3,3153,11.4,1.606501419
"5389",3,0,"rural",2,3,0.3,3153,0.95,2.420510292
"5390",3,0,"rural",2,3,0.3,3153,0.95,2.420510292
"5391",5,2,"rural",3,4,1.5,4678,17.1,1.260573047
"5392",5,2,"rural",3,4,1.5,4678,4.28,1.249411041
"5393",5,2,"rural",3,4,1.5,4678,19.95,1.363251045
"5394",4,2,"urban",1,2,0.15,2657,7.6,1.031411008
"5395",2,0,"urban",2,2,1.5,2404,11.4,0.922731644
"5396",2,0,"urban",2,2,1.5,2404,20.9,2.130131166
"5397",4,1,"urban",2,0,0.05,2476,0.49,1.980273209
"5398",3,1,"urban",1,1,0.7,2720,2.38,0.469476222
"5399",3,0,"rural",3,2,0.7,4630,2.38,1.58373403
"5400",3,0,"rural",3,2,0.7,4630,30.4,1.569710528
"5401",1,0,"urban",2,1,0.05,1440,13.3,5.853128151
"5402",3,2,"urban",1,1,0.05,2546,42.75,1.077693024
"5403",3,0,"urban",0,2,0.7,1308,0.49,0.339986279
"5404",2,0,"urban",1,1,1.5,2566,3.8,2.121959086
"5405",3,0,"urban",2,2,0.7,3366,9.5,0.9872166
"5406",3,0,"urban",2,2,0.7,3366,47.5,0.626721021
